bowler,total_balls,total_runs,total_wickets,overs,economy,bowling_avg
SN Khan,2,6,0,0.3,20.0,6.0
SN Thakur,2355,3554,127,392.5,9.05,27.98
SP Narine,4730,5379,229,788.3,6.82,23.49
SPD Smith,2,5,0,0.3,16.67,5.0
SR Dubey,87,110,5,14.5,7.59,22.0
SR Tendulkar,37,59,0,6.2,9.52,59.0
SR Watson,2137,2742,107,356.2,7.7,25.63
SS Agarwal,24,42,1,4.0,10.5,42.0
SS Cottrell,131,177,6,21.8,8.12,29.5
SS Iyer,6,7,0,1.0,7.0,7.0
SS Mishra,47,68,2,7.8,8.72,34.0
SS Mundhe,7,6,1,1.2,5.0,6.0
SS Sarkar,25,34,1,4.2,8.1,34.0
SSB Magala,37,52,1,6.2,8.39,52.0
ST Jayasuriya,301,396,16,50.2,7.89,24.75
STR Binny,611,763,28,101.8,7.5,27.25
SW Tait,534,668,26,89.0,7.51,25.69
SZ Mulani,33,57,0,5.5,10.36,57.0
Sachin Baby,10,8,3,1.7,4.71,2.67
Sakib Hussain,274,399,16,45.7,8.73,24.94
Sandeep Sharma,3295,4359,169,549.2,7.94,25.79
Shahbaz Ahmed,675,1083,27,112.5,9.63,40.11
Shahid Afridi,185,237,9,30.8,7.69,26.33
Shakib Al Hasan,1515,1864,71,252.5,7.38,26.25
Shashank Singh,93,141,5,15.5,9.1,28.2
Shivam Mavi,687,958,33,114.5,8.37,29.03
Shivam Sharma,114,165,4,19.0,8.68,41.25
Shivang Kumar,240,376,11,40.0,9.4,34.18
Shoaib Ahmed,103,154,5,17.2,8.95,30.8
Shoaib Akhtar,46,54,5,7.7,7.01,10.8
Shoaib Malik,58,87,2,9.7,8.97,43.5
Sikandar Raza,88,146,3,14.7,9.93,48.67
Simarjeet Singh,256,411,12,42.7,9.63,34.25
Sohail Tanvir,265,275,24,44.2,6.22,11.46
Sumit Kumar,22,38,0,3.7,10.27,38.0
Sunny Gupta,19,47,0,3.2,14.69,47.0
Suryansh Shedge,19,40,0,3.2,12.5,40.0
Suyash Sharma,822,1215,29,137.0,8.87,41.9
Swapnil Singh,165,241,7,27.5,8.76,34.43
T Henderson,36,41,1,6.0,6.83,41.0
T Natarajan,1631,2411,83,271.8,8.87,29.05
T Shamsi,120,185,3,20.0,9.25,61.67
T Stubbs,37,69,4,6.2,11.13,17.25
T Thushara,144,164,10,24.0,6.83,16.4
T Vijay,12,29,0,2.0,14.5,29.0
TA Boult,2892,3994,153,482.0,8.29,26.1
TG Southee,1262,1774,57,210.3,8.44,31.12
TH David,6,18,0,1.0,18.0,18.0
TK Curran,252,432,13,42.0,10.29,33.23
TL Suman,152,198,7,25.3,7.83,28.29
