type,entity,season,text
career_batting,B Kumar,all,"IPL career batting stats for B Kumar: 354 runs, 377 balls faced, 38 dismissals, strike rate 93.90, batting average 9.32."
career_batting,B Laughlin,all,"IPL career batting stats for B Laughlin: 5 runs, 13 balls faced, 2 dismissals, strike rate 38.46, batting average 2.50."
career_batting,B Lee,all,"IPL career batting stats for B Lee: 124 runs, 97 balls faced, 10 dismissals, strike rate 127.84, batting average 12.40."
career_batting,B Sai Sudharsan,all,"IPL career batting stats for B Sai Sudharsan: 2515 runs, 1686 balls faced, 52 dismissals, strike rate 149.17, batting average 48.37."
career_batting,B Stanlake,all,"IPL career batting stats for B Stanlake: 5 runs, 2 balls faced, 0 dismissals, strike rate 250.00, batting average not available."
career_batting,B Sumanth,all,"IPL career batting stats for B Sumanth: 35 runs, 37 balls faced, 1 dismissals, strike rate 94.59, batting average 35.00."
career_batting,BA Bhatt,all,"IPL career batting stats for BA Bhatt: 6 runs, 7 balls faced, 1 dismissals, strike rate 85.71, batting average 6.00."
career_batting,BA Stokes,all,"IPL career batting stats for BA Stokes: 935 runs, 698 balls faced, 38 dismissals, strike rate 133.95, batting average 24.61."
career_batting,BAW Mendis,all,"IPL career batting stats for BAW Mendis: 3 runs, 6 balls faced, 2 dismissals, strike rate 50.00, batting average 1.50."
career_batting,BB McCullum,all,"IPL career batting stats for BB McCullum: 2880 runs, 2186 balls faced, 104 dismissals, strike rate 131.75, batting average 27.69."
career_batting,BB Samantray,all,"IPL career batting stats for BB Samantray: 125 runs, 113 balls faced, 5 dismissals, strike rate 110.62, batting average 25.00."
career_batting,BB Sran,all,"IPL career batting stats for BB Sran: 10 runs, 14 balls faced, 1 dismissals, strike rate 71.43, batting average 10.00."
career_batting,BCJ Cutting,all,"IPL career batting stats for BCJ Cutting: 238 runs, 141 balls faced, 11 dismissals, strike rate 168.79, batting average 21.64."
career_batting,BE Hendricks,all,"IPL career batting stats for BE Hendricks: 1 runs, 3 balls faced, 1 dismissals, strike rate 33.33, batting average 1.00."
career_batting,BJ Haddin,all,"IPL career batting stats for BJ Haddin: 18 runs, 11 balls faced, 1 dismissals, strike rate 163.64, batting average 18.00."
career_batting,BJ Hodge,all,"IPL career batting stats for BJ Hodge: 1400 runs, 1118 balls faced, 42 dismissals, strike rate 125.22, batting average 33.33."
career_batting,BJ Rohrer,all,"IPL career batting stats for BJ Rohrer: 193 runs, 140 balls faced, 6 dismissals, strike rate 137.86, batting average 32.17."
career_batting,BKG Mendis,all,"IPL career batting stats for BKG Mendis: 20 runs, 10 balls faced, 1 dismissals, strike rate 200.00, batting average 20.00."
career_batting,BMAJ Mendis,all,"IPL career batting stats for BMAJ Mendis: 23 runs, 27 balls faced, 3 dismissals, strike rate 85.19, batting average 7.67."
career_batting,BR Dunk,all,"IPL career batting stats for BR Dunk: 40 runs, 35 balls faced, 3 dismissals, strike rate 114.29, batting average 13.33."
career_batting,BR Sharath,all,"IPL career batting stats for BR Sharath: 2 runs, 5 balls faced, 1 dismissals, strike rate 40.00, batting average 2.00."
career_batting,Basil Thampi,all,"IPL career batting stats for Basil Thampi: 32 runs, 35 balls faced, 1 dismissals, strike rate 91.43, batting average 32.00."
career_batting,Bipul Sharma,all,"IPL career batting stats for Bipul Sharma: 187 runs, 123 balls faced, 8 dismissals, strike rate 152.03, batting average 23.38."
career_batting,Brijesh Sharma,all,"IPL career batting stats for Brijesh Sharma: 2 runs, 4 balls faced, 0 dismissals, strike rate 50.00, batting average not available."
career_batting,C Bosch,all,"IPL career batting stats for C Bosch: 97 runs, 63 balls faced, 3 dismissals, strike rate 153.97, batting average 32.33."
career_batting,C Connolly,all,"IPL career batting stats for C Connolly: 491 runs, 301 balls faced, 11 dismissals, strike rate 163.12, batting average 44.64."
career_batting,C Green,all,"IPL career batting stats for C Green: 1029 runs, 681 balls faced, 27 dismissals, strike rate 151.10, batting average 38.11."
career_batting,C Madan,all,"IPL career batting stats for C Madan: 15 runs, 19 balls faced, 1 dismissals, strike rate 78.95, batting average 15.00."
career_batting,C Munro,all,"IPL career batting stats for C Munro: 177 runs, 141 balls faced, 12 dismissals, strike rate 125.53, batting average 14.75."
career_batting,C Nanda,all,"IPL career batting stats for C Nanda: 0 runs, 1 balls faced, 1 dismissals, strike rate 0.00, batting average 0.00."
career_batting,C Sakariya,all,"IPL career batting stats for C Sakariya: 20 runs, 31 balls faced, 6 dismissals, strike rate 64.52, batting average 3.33."
career_batting,C de Grandhomme,all,"IPL career batting stats for C de Grandhomme: 303 runs, 225 balls faced, 16 dismissals, strike rate 134.67, batting average 18.94."
career_batting,CA Ingram,all,"IPL career batting stats for CA Ingram: 205 runs, 180 balls faced, 12 dismissals, strike rate 113.89, batting average 17.08."
career_batting,CA Lynn,all,"IPL career batting stats for CA Lynn: 1329 runs, 945 balls faced, 39 dismissals, strike rate 140.63, batting average 34.08."
career_batting,CA Pujara,all,"IPL career batting stats for CA Pujara: 390 runs, 391 balls faced, 19 dismissals, strike rate 99.74, batting average 20.53."
career_batting,CH Gayle,all,"IPL career batting stats for CH Gayle: 4965 runs, 3333 balls faced, 125 dismissals, strike rate 148.96, batting average 39.72."
career_batting,CH Morris,all,"IPL career batting stats for CH Morris: 618 runs, 398 balls faced, 28 dismissals, strike rate 155.28, batting average 22.07."
career_batting,CJ Anderson,all,"IPL career batting stats for CJ Anderson: 538 runs, 423 balls faced, 22 dismissals, strike rate 127.19, batting average 24.45."
career_batting,CJ Ferguson,all,"IPL career batting stats for CJ Ferguson: 98 runs, 117 balls faced, 6 dismissals, strike rate 83.76, batting average 16.33."
career_batting,CJ Jordan,all,"IPL career batting stats for CJ Jordan: 81 runs, 77 balls faced, 10 dismissals, strike rate 105.19, batting average 8.10."
career_batting,CJ McKay,all,"IPL career batting stats for CJ McKay: 8 runs, 15 balls faced, 1 dismissals, strike rate 53.33, batting average 8.00."
career_batting,CK Kapugedera,all,"IPL career batting stats for CK Kapugedera: 16 runs, 23 balls faced, 3 dismissals, strike rate 69.57, batting average 5.33."
career_batting,CK Langeveldt,all,"IPL career batting stats for CK Langeveldt: 8 runs, 9 balls faced, 2 dismissals, strike rate 88.89, batting average 4.00."
career_batting,CL White,all,"IPL career batting stats for CL White: 954 runs, 755 balls faced, 36 dismissals, strike rate 126.36, batting average 26.50."
career_batting,CM Gautam,all,"IPL career batting stats for CM Gautam: 169 runs, 150 balls faced, 10 dismissals, strike rate 112.67, batting average 16.90."
career_batting,CR Brathwaite,all,"IPL career batting stats for CR Brathwaite: 181 runs, 111 balls faced, 13 dismissals, strike rate 163.06, batting average 13.92."
career_batting,CR Woakes,all,"IPL career batting stats for CR Woakes: 78 runs, 77 balls faced, 6 dismissals, strike rate 101.30, batting average 13.00."
career_batting,CRD Fernando,all,"IPL career batting stats for CRD Fernando: 4 runs, 3 balls faced, 0 dismissals, strike rate 133.33, batting average not available."
career_batting,CV Varun,all,"IPL career batting stats for CV Varun: 31 runs, 53 balls faced, 6 dismissals, strike rate 58.49, batting average 5.17."
career_batting,D Brevis,all,"IPL career batting stats for D Brevis: 606 runs, 415 balls faced, 24 dismissals, strike rate 146.02, batting average 25.25."
career_batting,D Ferreira,all,"IPL career batting stats for D Ferreira: 326 runs, 191 balls faced, 12 dismissals, strike rate 170.68, batting average 27.17."
career_batting,D Kalyankrishna,all,"IPL career batting stats for D Kalyankrishna: 3 runs, 8 balls faced, 1 dismissals, strike rate 37.50, batting average 3.00."
career_batting,D Padikkal,all,"IPL career batting stats for D Padikkal: 2270 runs, 1705 balls faced, 85 dismissals, strike rate 133.14, batting average 26.71."
career_batting,D Pretorius,all,"IPL career batting stats for D Pretorius: 44 runs, 28 balls faced, 4 dismissals, strike rate 157.14, batting average 11.00."
career_batting,D Salunkhe,all,"IPL career batting stats for D Salunkhe: 33 runs, 24 balls faced, 2 dismissals, strike rate 137.50, batting average 16.50."
career_batting,D Wiese,all,"IPL career batting stats for D Wiese: 148 runs, 101 balls faced, 5 dismissals, strike rate 146.53, batting average 29.60."
career_batting,D du Preez,all,"IPL career batting stats for D du Preez: 10 runs, 13 balls faced, 1 dismissals, strike rate 76.92, batting average 10.00."
career_batting,DA Miller,all,"IPL career batting stats for DA Miller: 3288 runs, 2357 balls faced, 92 dismissals, strike rate 139.50, batting average 35.74."
career_batting,DA Payne,all,"IPL career batting stats for DA Payne: 6 runs, 5 balls faced, 0 dismissals, strike rate 120.00, batting average not available."
career_batting,DA Warner,all,"IPL career batting stats for DA Warner: 6565 runs, 4697 balls faced, 162 dismissals, strike rate 139.77, batting average 40.52."
career_batting,DAJ Bracewell,all,"IPL career batting stats for DAJ Bracewell: 12 runs, 9 balls faced, 0 dismissals, strike rate 133.33, batting average not available."
career_batting,DB Das,all,"IPL career batting stats for DB Das: 304 runs, 261 balls faced, 14 dismissals, strike rate 116.48, batting average 21.71."
