batter,total_runs,total_balls,dismissals,strike_rate,average
P Parameswaran,1,3,0,33.33,1.0
P Ray Barman,19,25,1,76.0,19.0
P Sahu,19,13,0,146.15,19.0
P Simran Singh,1865,1220,62,152.87,30.08
PA Patel,2848,2442,121,116.63,23.54
PA Reddy,164,167,10,98.2,16.4
PBB Rajapaksa,277,201,12,137.81,23.08
PC Valthaty,505,432,22,116.9,22.95
PD Collingwood,203,159,4,127.67,50.75
PD Salt,1258,746,37,168.63,34.0
PHKD Mendis,92,72,4,127.78,23.0
PJ Cummins,642,437,32,146.91,20.06
PJ Sangwan,26,47,7,55.32,3.71
PK Garg,273,247,18,110.53,15.17
PM Sarvesh Kumar,1,2,0,50.0,1.0
PN Mankad,97,75,3,129.33,32.33
PP Chawla,624,580,53,107.59,11.77
PP Hinge,3,9,1,33.33,3.0
PP Ojha,16,45,9,35.56,1.78
PP Shaw,1892,1321,76,143.22,24.89
PR Shah,92,97,8,94.85,11.5
PR Veer,90,72,2,125.0,45.0
PSP Handscomb,6,12,1,50.0,6.0
PV Tambe,18,39,1,46.15,18.0
PVD Chameera,53,49,3,108.16,17.67
PVSN Raju,1,1,0,100.0,1.0
PWA Mulder,9,12,1,75.0,9.0
PWH de Silva,81,95,15,85.26,5.4
Pankaj Singh,7,12,2,58.33,3.5
Parvez Rasool,17,20,2,85.0,8.5
Prince Yadav,5,12,0,41.67,5.0
Priyansh Arya,909,491,31,185.13,29.32
Q de Kock,3444,2618,108,131.55,31.89
R Ashwin,833,728,61,114.42,13.66
R Bhatia,342,290,29,117.93,11.79
R Bishnoi,19,17,3,111.76,6.33
R Dhawan,210,188,10,111.7,21.0
R Dravid,2174,1918,75,113.35,28.99
R McLaren,159,178,8,89.33,19.88
R Minz,12,20,3,60.0,4.0
R Ninan,3,6,1,50.0,3.0
R Parag,1879,1359,71,138.26,26.46
R Powell,555,409,24,135.7,23.12
R Rampaul,51,52,5,98.08,10.2
R Ravindra,413,298,16,138.59,25.81
R Sai Kishore,18,16,3,112.5,6.0
R Sanjay Yadav,0,2,1,0.0,0.0
R Sathish,270,236,16,114.41,16.88
R Sharma,66,77,11,85.71,6.0
